Title,Company,Ratings,Reviews,Experience,Salary,Posted,Location,URL,Keywords
"Market Data Business Analyst,",Luxoft,4.4,73,2-6,Not disclosed,8,Pune,https://www.naukri.com/job-listings-market-data-business-analyst-luxoft-pune-2-to-6-years-090721501249?src=jobsearchDesk&sid=16266120716757194&xp=10&px=6,"Publishing,Excel,Bloomberg,Fixed income,market data,QlikView,Murex,RPM,"
Senior Data Research Analyst- Calling Profile- Managed Investment Data,Morningstar,4.2,163,1-3,"3,50,000 - 5,50,000 PA.",11,Mumbai(Sector 30A Vashi),https://www.naukri.com/job-listings-senior-data-research-analyst-calling-profile-managed-investment-data-morningstar-india-p-ltd-mumbai-1-to-3-years-070721002945?src=jobsearchDesk&sid=16266120716757194&xp=11&px=6,"BPO,voice,outbound,Bpo Voice,Finance,Calling,Voice Process,"
Data Quality Analyst- Data Operation - Contract,IntegriChain,4.5,4,2-5,Not disclosed,1,Pune,https://www.naukri.com/job-listings-data-quality-analyst-data-operation-contract-integrichain-pune-2-to-5-years-160721501112?src=jobsearchDesk&sid=16266120716757194&xp=13&px=6,"DevOps,Agile,Scrum,Test Automation,Agile methodologies,Kanban,Python,Analytical,"
Sr Data Center Operations Analyst,ServiceNow,4.3,24,3-6,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-sr-data-center-operations-analyst-servicenow-bangalore-bengaluru-3-to-6-years-160721501915?src=jobsearchDesk&sid=16266120716757194&xp=14&px=6,"IT Skills,Cloud,Installation,Time Management,Networking,Analytical Skills,Data Center Operations,Hardware,"
Data Analyst,Netlink Software Private Limited,3.6,144,2-5,Not disclosed,11,"Bhopal, Indore, Pune, Chennai",https://www.naukri.com/job-listings-data-analyst-netlink-software-private-limited-bhopal-indore-pune-chennai-2-to-5-years-070721600521?src=jobsearchDesk&sid=16266120882628544&xp=3&px=7,"communication,PowerBI,SAS,SPSS,Javascript,Tableau,analytical,ETL frameworks,"
Data Analyst,Netlink Software Private Limited,3.6,144,2-5,Not disclosed,11,"Bhopal, Indore, Pune, Chennai",https://www.naukri.com/job-listings-data-analyst-netlink-software-private-limited-bhopal-indore-pune-chennai-2-to-5-years-070721000519?src=jobsearchDesk&sid=16266120882628544&xp=4&px=7,"Business Intelligence,Data Analysis,Data Mining,Data Modeling,Reporting,"
Data Analyst -  Quantum/ Dimension,COURSE5 INTELLIGENCE PRIVATE LIMITED,3.3,66,2-5,Not disclosed,9,Mumbai,https://www.naukri.com/job-listings-data-analyst-quantum-dimension-course5-intelligence-private-limited-mumbai-2-to-5-years-240320002942?src=jobsearchDesk&sid=16266120882628544&xp=5&px=7,"wincross,data analysis,quantum,dimension,"
Market Data Analyst (Airoli / Malad),GlobeOp Financial Services Technologies (India)  Private Limited,3.4,370,1-6,"2,50,000 - 5,50,000 PA.",11,Mumbai (All Areas),https://www.naukri.com/job-listings-market-data-analyst-airoli-malad-globeop-financial-services-technologies-india-private-limited-mumbai-all-areas-1-to-6-years-070721000105?src=jobsearchDesk&sid=16266120882628544&xp=7&px=7,"pricing data,Middle Office,Reference Data,Communication Skills,Finance,Non Voice,MS Office,Operations,"
Tech lead AWS Data Analyst,NICE Ltd,3.8,123,7-10,Not disclosed,13,Pune,https://www.naukri.com/job-listings-tech-lead-aws-data-analyst-nice-ltd-pune-7-to-10-years-050721500315?src=jobsearchDesk&sid=16266120882628544&xp=8&px=7,"IT Skills,Data Science,Machine Learning,Big Data,AWS,Computer science,Automation,Linux,"
Sr Data Technology Analyst,Integreon,3.6,292,5-10,Not disclosed,12,Mumbai,https://www.naukri.com/job-listings-sr-data-technology-analyst-integreon-mumbai-5-to-10-years-050721500582?src=jobsearchDesk&sid=16266120882628544&xp=10&px=7,"Computer science,Data analysis,Operations research,SAS,Risk assessment,Javascript,Business solutions,Forecasting,"
